equipamento,flange_id,n_pontos,centroid_x,centroid_y,centroid_z,extensao_x,extensao_y,extensao_z
equipamento1,0,1483,-686957.5685,392549.6219,12180.476,183.116,159.102,161.0
equipamento1,1,3501,-686962.7057,392309.4196,12199.5552,169.226,152.062,169.0
equipamento1,2,1727,-687654.8207,391913.609,12184.7493,114.679,169.133,170.0
equipamento1,3,2761,-687254.2345,391920.5944,12205.924,130.157,172.365,170.0
equipamento1,4,1103,-687455.176,391587.1085,12626.4545,115.088,103.877,132.0
equipamento1,5,1831,-687457.3773,392277.4126,12648.698,117.035,121.106,120.0
equipamento1,6,10216,-687374.4984,393193.3992,12395.3057,410.914,230.343,405.0
equipamento1,7,9365,-687401.8841,391914.913,12669.4302,325.411,345.586,255.0
equipamento10,0,10804,2714.4749,3169.4049,101.975,0.1687,0.1521,0.1736
equipamento10,1,7520,2714.5808,3169.5946,101.9873,0.1765,0.2168,0.1734
equipamento10,2,785,2714.9965,3170.8143,102.4938,0.1492,0.157,0.1291
equipamento10,3,1222,2715.3775,3170.5515,102.3235,0.145,0.1633,0.1328
equipamento10,4,8632,2715.4685,3171.153,101.9821,0.147,0.1685,0.1512
equipamento10,5,6369,2715.3831,3170.9786,101.9748,0.1533,0.1313,0.1592
equipamento10,6,4559,2714.2323,3169.2643,99.9065,0.0637,0.0669,0.0892
equipamento10,7,6527,2716.0293,3169.8544,97.5165,0.1111,0.1331,0.1081
equipamento10,8,6418,2716.0259,3169.635,97.5185,0.1177,0.1201,0.1159
equipamento10,9,10804,2714.4883,3169.4,100.1969,0.1746,0.1492,0.1707
equipamento10,10,4096,2716.0232,3171.0022,97.5043,0.0986,0.0955,0.093
equipamento10,11,5846,2716.0247,3170.6618,97.5062,0.1003,0.1208,0.0974
equipamento10,12,7232,2716.0157,3171.0653,98.5766,0.0967,0.1035,0.0997
equipamento10,13,12333,2716.0208,3171.2799,98.1853,0.1638,0.1609,0.1087
equipamento10,14,11757,2716.0185,3171.2773,97.9928,0.1653,0.1597,0.1187
equipamento10,15,7263,2714.9458,3170.3015,99.1963,0.1289,0.1311,0.1284
equipamento10,16,855,2714.9584,3170.2996,99.2735,0.0574,0.0549,0.0496
equipamento10,17,9637,2714.593,3169.6012,100.1819,0.1802,0.1633,0.1613
equipamento11,0,6844,4268097.9291,6657023.181,1806.2976,123.6949,94.155,108.4482
equipamento11,1,992,4270449.8453,6651949.7352,1957.1542,120.832,115.9641,89.1104
