epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.6231965959072113,70.0,0.9149036687612534,70.0
2,0.5599063980579376,77.0,1.6688929699361323,70.0
3,0.6468455743789673,62.0,2.064399468898773,70.0
4,0.5883196520805359,68.0,1.6040714809298515,70.0
5,0.674984815120697,62.0,1.4201061183214188,70.0
6,0.7444890117645264,64.0,1.595322171598673,70.0
7,0.5854465675354004,68.0,1.6230292120575904,70.0
8,0.5471834135055542,74.0,1.3916496813297272,70.0
9,0.47773868322372437,70.0,1.0720212119817734,71.5
10,0.5253115558624267,69.0,0.8295834636688233,72.0
11,0.5687811064720154,76.0,0.7698057603836059,70.0
12,0.5806361961364747,70.0,0.640476199388504,76.5
13,0.4777494692802429,78.0,0.5531231808662415,78.0
14,0.47533790856599806,81.0,0.555713540315628,72.5
15,0.516761121749878,82.0,0.57290247797966,69.0
16,0.5622314763069153,75.0,0.5664463496208191,63.0
17,0.5236230754852295,77.0,0.5272031390666961,77.0
18,0.37218580961227415,88.0,0.6065484499931335,71.0
19,0.652669506072998,78.0,0.589278330206871,71.5
20,0.5235250854492187,83.0,0.5604114222526551,70.5
21,0.4789923918247223,80.0,0.5258964711427688,72.0
22,0.4051330494880676,83.0,0.5290302014350892,71.0
23,0.42256216168403626,81.0,0.5405279207229614,65.5
24,0.391806276589632,85.0,0.5386929798126221,64.5
25,0.3757198429107666,81.0,0.5339981830120086,72.0
26,0.4471656847000122,82.0,0.5089864981174469,74.5
27,0.5374226054549217,81.0,0.5511817210912704,80.5
28,0.3904815524816513,85.0,0.5280731844902039,77.5
29,0.41827978134155275,84.0,0.5337729299068451,75.5
30,0.5345221376419067,77.0,0.5609720969200134,79.0
31,0.34322406888008117,87.0,0.5189454036951066,77.0
32,0.4924141240119934,90.0,0.5364168602228164,71.5
33,0.3996307849884033,84.0,0.5786253666877746,67.5
34,0.4196071267127991,83.0,0.5690884959697723,68.5
35,0.43458947658538816,78.0,0.541663088798523,73.5
36,0.35068827152252197,87.0,0.5382922208309173,71.0
37,0.36737616032361986,84.0,0.5149134051799774,74.5
38,0.473132758140564,81.0,0.5227157795429229,70.5
39,0.4090705370903015,85.0,0.5194705730676651,71.5
40,0.33823663234710694,90.0,0.5235514879226685,72.5
41,0.35853400468826296,85.0,0.525814744234085,75.5
42,0.4301241159439087,81.0,0.49887554049491883,79.5
43,0.37407856464385986,84.0,0.4920169883966446,80.0
44,0.5300039911270141,80.0,0.5063753616809845,79.0
45,0.3316347777843475,87.0,0.49980091750621797,76.5
46,0.30462514877319335,88.0,0.5041766840219498,72.5
47,0.29891677856445314,90.0,0.5239263820648193,71.0
48,0.3308134698867798,84.0,0.5743751168251038,65.0
49,0.4778946924209595,83.0,0.5317617905139923,69.5
50,0.34787264704704285,88.0,0.621499376296997,62.0
51,0.4435299897193909,83.0,0.5808235335350037,63.0
52,0.265241322517395,88.0,0.49979778051376345,68.0
53,0.37635565400123594,86.0,0.47331514954566956,68.5
54,0.41440450787544253,84.0,0.44894922137260435,72.5
55,0.3507676529884338,86.0,0.4240722703933716,76.5
56,0.32879924178123476,84.0,0.4273149710893631,75.0
57,0.4620563507080078,88.0,0.4325091218948364,76.0
58,0.31197062253952024,81.0,0.4364029580354691,76.0
59,0.4168523061275482,87.0,0.45306857585906984,77.5
60,0.502937707901001,81.0,0.45753925263881684,77.0
61,0.3791859197616577,87.0,0.47464985609054566,77.0
62,0.34570684731006623,84.0,0.47261426985263827,74.0
63,0.42914214491844177,80.0,0.49042952060699463,71.5
64,0.2934784501791,91.0,0.49186958074569703,71.0
65,0.2509291577339172,88.0,0.5036611372232437,72.0
66,0.47337465882301333,81.0,0.5205910122394561,70.5
67,0.35963459730148317,82.0,0.5100935554504394,75.5
68,0.3825367027521133,84.0,0.5036354303359986,75.5
69,0.35131717681884767,86.0,0.5077297383546829,76.0
70,0.28872013360261917,89.0,0.49475427985191345,74.0
71,0.3862340545654297,83.0,0.5241759294271469,69.0
72,0.33415417551994325,82.0,0.5187181705236434,74.5
73,0.45773848056793215,80.0,0.5204805666208268,73.0
74,0.33544600009918213,85.0,0.5082429939508438,75.5
75,0.44495776414871213,87.0,0.5251685124635697,72.0
76,0.3224474334716797,89.0,0.512118433713913,76.5
77,0.4539371308684349,81.0,0.5114108157157898,75.0
78,0.26633712768554685,87.0,0.48398428320884707,76.0
79,0.38714024916291234,88.0,0.4891012251377106,77.0
80,0.4122793674468994,86.0,0.5145772558450699,76.5
81,0.41611173391342166,78.0,0.5218408459424972,74.5
82,0.42625287771224973,82.0,0.5121391427516937,74.5
83,0.2727520203590393,89.0,0.5071804797649384,73.5
84,0.34770465195178984,80.0,0.47388907611370085,75.5
85,0.415890257358551,81.0,0.49257212281227114,72.5
86,0.4240282732248306,86.0,0.5409952008724213,72.0
87,0.4471992015838623,88.0,0.5267475169897079,71.0
88,0.4285747170448303,86.0,0.5146072584390641,73.0
89,0.26415038108825684,93.0,0.4802418029308319,74.5
90,0.3805633330345154,87.0,0.46795694053173065,75.5
91,0.35990510940551756,83.0,0.4697129720449448,78.0
92,0.3051574516296387,83.0,0.5009628027677536,72.0
93,0.2477810800075531,86.0,0.5374587297439575,70.5
94,0.30296289920806885,86.0,0.5358982473611832,72.0
95,0.35149903148412703,84.0,0.48111512303352355,76.5
96,0.28800809383392334,88.0,0.49879627525806425,77.0
