epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.696895833492279,60.4,0.6567183327674866,55.0
2,0.6115835614204407,67.0,0.6400286149978638,66.0
3,0.5178870327472687,75.1,0.6145182526111603,72.0
4,0.46442376339435576,77.9,0.49732319712638856,75.0
5,0.47134914803504946,78.2,0.5685862481594086,79.0
6,0.4410533790588379,81.3,0.4716286826133728,80.5
7,0.4322692127227783,80.6,0.4514849352836609,80.5
8,0.3767630093097687,83.4,0.5047813141345978,74.0
9,0.4043270194530487,83.0,0.5212091910839081,77.0
10,0.3624991937875748,84.6,0.47427754282951357,82.0
11,0.36180015063285825,83.2,0.36068923950195314,86.0
12,0.38807205295562747,84.1,0.5407345700263977,78.0
13,0.3598884372711182,85.2,0.34738228797912596,86.5
14,0.3476170556545258,83.8,0.3693854856491089,86.5
15,0.3544723839759827,84.1,0.564704794883728,76.5
16,0.3678976538181305,84.7,0.32007661104202273,90.0
17,0.3071362451314926,87.8,0.3302021062374115,87.5
18,0.3108763995170593,87.4,0.32820636093616484,85.5
19,0.30190465557575225,87.6,0.3933836263418198,83.5
20,0.3639755895137787,84.4,0.4525894224643707,81.5
21,0.3195302001237869,86.7,0.3575744152069092,85.0
22,0.2955406516194344,88.3,0.40240649819374086,81.0
23,0.2942531641125679,87.3,0.3374379861354828,85.5
24,0.25471748286485674,89.3,0.5908361494541168,74.5
25,0.26532914853096007,88.5,0.3340579319000244,86.5
26,0.26209220254421234,90.5,0.4166466426849365,82.0
27,0.2606829574108124,88.8,0.28719268620014193,90.5
28,0.2452044073343277,88.9,0.7199072408676147,72.5
29,0.24716784560680388,89.9,0.4644097936153412,83.5
30,0.27990360164642336,88.6,0.23324370324611665,90.5
31,0.23574719113111495,90.2,0.39177361607551575,85.0
32,0.2162205834388733,90.6,0.36821077942848207,89.5
33,0.24812326174974442,90.0,0.27749595165252683,87.0
34,0.2369355610013008,91.2,0.25267924487590787,90.0
35,0.25842096972465517,91.3,0.44605990648269656,81.5
36,0.2599877206087112,89.5,0.3462996733188629,85.0
37,0.2371541957259178,89.8,0.47648027062416076,80.0
38,0.2499007195830345,90.4,0.4102232003211975,81.5
39,0.2308552817106247,91.3,0.380743750333786,84.5
40,0.20928439259529114,91.7,0.5239896500110626,79.5
41,0.21454252594709397,91.9,0.348138929605484,85.0
42,0.221434310734272,91.2,0.31794225573539736,86.5
43,0.20507212227582933,92.7,0.3056772267818451,85.5
44,0.18414476174116134,93.2,0.3296643316745758,87.0
45,0.20363583076000213,92.9,0.21599609673023223,92.0
46,0.16282968419790267,93.7,0.33477402210235596,86.0
47,0.21364150926470757,91.7,0.4822984600067139,80.5
48,0.21959727334976195,91.0,0.2858298093080521,89.5
49,0.21007057666778564,91.2,0.2843234920501709,89.5
